scheme_code,scheme_name,4_month_rolling_return,monthly_return,variance_of_monthly_returns,max_drawdown,drawdown_duration,excess_return,sharpe_ratio,downside_return,annualized_return,volatility,downside_deviation,max_gain,beta,alpha,treynor_ratio,information_ratio,CAGR,up_capture_ratio,down_capture_ratio,recovery_time,nav,diversification_score,Score
120786,UTI Overnight Fund - Direct Plan - Periodic IDCW,0.0219787292267932,0.0054454435514339,2.4471060870056498e-08,-4.493604045292732,0,0.0029454435514339,66.87692848047547,0.0,0.0673383741933506,0.0005418973430832,0.023959129457294,99.5544622882141,-2.481496457462065,0.0799176640166457,0.0098950600452112,0.0924163281676089,0.6682790508129839,38.79357977857861,-0.097447495375463,12,1757.826,-364.68604212413214,31.696618468620212
146184,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,0.021994057128553,0.0054571772943265,2.432964031405009e-08,-0.3672130534215569,0,0.0029571772943265,67.16491971088604,0.0,0.0674878563322218,0.0005403292364555,0.0036721305342155,0.0293942585046471,0.0629925172659045,0.0010032458623193,-0.3896148903221798,-0.2998894190523222,0.0498184051715127,0.1422708037861764,-0.1567447011877475,2,1188.8956,32.4959194244065,31.68801480408556
120785,UTI - Overnight Fund - Direct Plan - Growth Option,0.0219773832382004,0.005445459046578,2.451089177306352e-08,-0.158456528931378,0,0.002945459046578,66.81980867154267,0.0,0.0673385715812453,0.0005423381798073,0.0014068504443458,99.55420782895514,-2.487807386988343,0.0801134348824558,0.0098699525863,0.0926403768853699,0.7105674806562878,38.847601318464974,-0.1681829244513846,1,3349.4298,-197.6015813114409,31.679555727219327
100814,UTI - Overnight  Fund - Regular Plan - Growth Option,0.0218086298341961,0.005402742372693,2.4144734382098177e-08,-0.1748656812985488,0,0.002902742372693,66.39442185005024,0.0,0.0667945440432022,0.0005382720618657,0.0015611515654678,99.54960989283852,-2.487683466226598,0.0800668743762879,0.009887615511075,0.0926324521609807,0.709075958361417,38.843884176758486,-0.1657286636034249,1,3315.0098,-201.21244417364144,31.47857902382849
100813,UTI Overnight Fund - Regular Plan - Periodic IDCW,0.0218092517360752,0.0054028003993404,2.4130483103889173e-08,-4.619146751839388,0,0.0029028003993404,66.41477311679633,0.0,0.0667952828818148,0.0005381131825616,0.0246091265838504,99.5493041937906,-2.4811166469159907,0.0798632397229755,0.0099137618665505,0.0924036329107206,0.665919688358743,38.788492075803525,-0.0934994062366029,15,1707.7778,-381.6726621013921,31.4780987882681
115398,Union Liquid Fund - Growth Option,0.0210534189413593,0.005025805489129,2.0886019046765773e-08,-2.84422926667712,0,0.002525805489129,65.78916107276818,0.0,0.0620049878011668,0.0005006318293528,0.0284422926667712,0.0074257381204851,0.0044826510805782,0.0027544235910759,-5.571300121723754,-0.1198250371980598,0.0581010276782751,0.1296826547895027,-0.1535661130651849,6,1714.5092,29.878919132432856,31.04100311868576
147563,Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW,0.0219123499563917,0.0054275841652813,2.5233896604775363e-08,-0.0343042060196082,0,0.0029275841652813,65.67498591075287,0.0,0.0671108911868065,0.0005502788013882,0.0002376203322197,0.0647474126924698,-0.0030251891865962,0.0030214209017068,8.122604676623979,-0.2045139268476905,0.0491721888101284,0.1163104686299204,-0.0868171189312224,12,1269.8849,34.56032279515159,30.98519056991117
119832,SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),0.0218448217747033,0.0054027146804558,2.480746263687092e-08,-0.3097946441924696,0,0.0029027146804558,65.51866995432798,0.0,0.0667941914451222,0.0005456093397683,0.0009288069445585,0.0056658241639062,0.0089237105243723,0.0026259148438958,-2.756396596725572,-0.1836054510066306,0.0218531210152876,0.0542509097597306,-0.0500000416547437,49,1261.7419,30.590382052899347,30.905083703984463
103140,SBI Overnight Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),0.0215560050333496,0.0053347099776626,2.4255901658829483e-08,-0.3048214557798654,0,0.0028347099776626,64.73733550490125,0.0,0.0659286273684964,0.0005395097959314,0.0009114866160476,0.005597883590855,0.0087644182038084,0.0025628511449795,-2.8142529770680618,-0.1842387307792647,0.0214820441711272,0.0532790018866218,-0.0492676838415809,49,1257.4434,30.172537849365963,30.53649347089075
146186,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,0.0216301503047799,0.0053671565023227,2.47664358152176e-08,-0.2596226535525593,0,0.0028671565023227,64.6834969457226,0.0,0.0663415265044113,0.0005451579860761,0.0025962265355256,0.019609276351918,0.0203508020029757,0.0022359057851571,-1.2104114370566526,-0.1716960597756254,0.0333909214212848,0.0798695807622177,-0.1192819448920204,1,1186.8681,31.176824438086538,30.513893368212404
120786,UTI Overnight Fund - Direct Plan - Periodic IDCW,97.95750916778267,99.5544622882141,825.8961292053526,-4.493604045292732,0,99.5519622882141,0.9999032947740366,0.0,1.0686024748737972e+24,99.55276766852958,0.023959129457294,99.5544622882141,-2.481496457462065,99.55593550391316,-40.106630815021234,0.0924163281676089,0.6682790508129839,38.79357977857861,-0.097447495375463,12,1411.3221,-457.7699261977356,318.26379866290415
120785,UTI - Overnight Fund - Direct Plan - Growth Option,100.78339874621864,99.55420782895514,825.8497040210112,-0.158456528931378,0,99.55170782895514,1.0002095538899398,0.0,1.0685700253530298e+24,99.5499696044762,0.0014068504443458,99.55420782895514,-2.487807386988343,99.55569114931671,-40.00478829248749,0.0926403768853699,0.7105674806562878,38.847601318464974,-0.1681829244513846,1,2466.283,-290.50395090603104,318.2591678936804
