scheme_code,scheme_name,4_month_rolling_return,monthly_return,variance_of_monthly_returns,max_drawdown,drawdown_duration,excess_return,sharpe_ratio,downside_return,annualized_return,volatility,downside_deviation,max_gain,beta,alpha,treynor_ratio,information_ratio,CAGR,up_capture_ratio,down_capture_ratio,recovery_time,nav,diversification_score,Score
145537,ICICI Prudential Overnight Fund - Direct Plan - Daily IDCW,0.0,0.0,6.750000000000136,-0.0001999986000022,0,-0.0025,0.9966666666669898,0.0,0.0,9.00000000000009,1.9999860000341485e-06,9.0,-0.097796689939398,-0.0061491629826818,0.3067588485723819,0.1077044421592111,0.4925489093287072,5.2732509656086,1.3000757816307164e-06,4,1000.005,4056111.166085317,520370.5946928785
149826,JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan,0.0,-9.31104158219398e-08,1.5762818801539136e-15,-9.311041580122672e-06,1,-0.0025000931104158,-218129.14149100863,-9.31104158219398e-08,-1.1173244176543309e-06,1.3753320530638033e-07,9.31104158219398e-08,9.31104244816794e-08,-7.765034474217372e-09,-0.0025000929012968,3863484.857668902,-0.3457095990884227,0.0,1.2519164876985914e-14,-0.0,14,1073.9936,2144645.894367212,208419.9323254678
149827,JM Overnight Fund - (Direct) - Unclaimed IDCW I.E.F. - Growth Plan,0.0,-9.31104158219398e-08,1.5762818801539136e-15,-9.311041580122672e-06,1,-0.0025000931104158,-218129.14149100863,-9.31104158219398e-08,-1.1173244176543309e-06,1.3753320530638033e-07,9.31104158219398e-08,9.31104244816794e-08,-7.765034474217372e-09,-0.0025000929012968,3863484.857668902,-0.3457095990884227,0.0,1.2519164876985914e-14,-0.0,14,1073.9936,2144645.894367212,208419.9323254678
119736,Kotak Bond - Quaterly Payout of Income Distribution cum capital withdrawal option - Direct,-0.0042564158635447,-0.0305811327640872,0.0004378228660991,-4.731219264032557,3,-0.0330811327640872,1.1489021009559035,-0.0305811327640872,-0.3111294561623947,0.0724836146531702,0.0167114161421004,0.0428296965058341,-1.2109903074131105e-07,-0.0330811285645047,500261.0870891219,-0.0833692071379953,0.0686906070628854,0.1526570060987506,-0.148671308201669,10,12.7497,523304.27236727887,67134.9090416753
139260,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,0.0,-2.412906152549077e-06,1.0585691180464099e-12,-0.0002412906152508,1,-0.0025024129061525,-8417.265413747082,-2.412906152549077e-06,-2.8954489573962405e-05,3.5641028908488206e-06,2.412906152549077e-06,2.4129119746696404e-06,-1.1260901575249105e-07,-0.0025024115136159,266429.9364102102,-0.2514895508823699,0.0,3.475178781868587e-12,-0.0,33,41.4437,151228.45951640143,16826.804364043437
142907,HDFC FMP 1147D March 2018 (1) - IDCW Option - Direct Plan,-0.1971804979086551,-0.2042651388557332,0.0036208115745071,-20.42651388557333,1,-0.2067651388557332,-0.9087588514687968,-0.2042651388557332,-0.9355503417175444,0.2084460095422446,0.1021882355561003,0.0143887598393726,-3.379480323652767e-05,-0.2067647159959301,6931.987063695165,-0.163234061279625,-0.0010773342531381,-0.0793506736580157,-0.1796648371293227,3,10.0,9584.220783529398,1222.0909740494076
139393,UTI FTIF Series XXIV - XIV (1831 Days) - Direct Plan - Maturity IDCW,-0.3118019090615043,-0.3180345756470147,0.0086196287875766,-31.803457564701475,1,-0.3205345756470147,-0.9605969796356676,-0.3180345756470147,-0.9898807511100876,0.3216139696140704,0.1203256385018111,0.0234156273861032,-7.256057226944903e-05,-0.3205339708036565,4796.469553115026,-0.1650963221568026,-0.0014201504032659,-0.0717992831187417,-0.214286530921176,3,10.0,6815.557054196296,862.8546684509296
103343,ICICI Prudential Liquid Fund - Daily IDCW,0.0004925129047372,0.0,2.5833737820536377e-08,-0.0175795198593654,0,-0.0025,-52.99654090618514,0.0,0.0,0.0005567807951487,0.0001757951985936,0.0004925129047372,-2.7357256919954484e-06,-0.0025000124071581,10966.01171958797,-0.2209756493910309,8.819664108239422e-05,6.89054145718933e-05,-0.000482828928314,5,100.1482,6370.20372268095,801.0348087587439
120411,JM Liquid Fund (Direct) - Daily IDCW,0.0,0.0,1.6713068842540843e-11,-0.000958754386299,0,-0.0025,-2118.373472594672,0.0,0.0,1.4161808716067666e-05,9.58754386304328e-06,9.587635784846782e-06,-1.4705253314412466e-06,-0.0024999868942378,20400.87263957385,-0.2209419995272688,0.0,3.591285761889288e-11,-0.0,1,10.4302,10841.31339115456,742.8798376811984
101952,SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),0.0272534880075248,-0.0318322178390437,0.0004421475062049,-7.444262222419217,1,-0.0343322178390437,0.8805825700985723,-0.0318322178390437,-0.3217223330184455,0.072840717146795,0.0130236937287333,0.0542933914872074,-1.3679971673098076e-05,-0.0343323164097645,4519.908324125992,-0.1354262454903953,0.0452397699685562,0.114037172822238,-0.0942714086808682,31,13.1057,4768.862233558,609.4589475216068
119090,HDFC Liquid Fund - IDCW Monthly - Direct Plan,-0.0010070387610658,-0.0006424308281904,827.7162120503272,-0.7336069022144537,9,-0.0031424308281904,0.9996154565456764,-0.0006424308281904,-0.0076819888390211,99.66240286388808,0.0030661273765346,99.66170815525852,-30.679744067706068,1.132919528944826,0.0009987837825689,0.0920645983337023,0.6170204834312996,8.33596984566553e-05,-72.48370626677129,108,1026.5324,0.4633786891575058,228.9514992982047
